method,param_name,param_val,compr_ratio,psnr,ssim,time
SVD,k,5.00,15.6315,30.70,0.891093,11.08
SVD,k,10.00,7.8179,32.98,0.916811,14.78
SVD,k,20.00,3.9095,36.49,0.947873,26.37
SVD,k,30.00,2.6065,38.73,0.965132,32.24
SVD,k,50.00,1.5639,41.77,0.979442,51.59
SVD,k,80.00,0.9775,44.71,0.987430,75.66
SVD,k,100.00,0.7820,46.11,0.990184,88.79
SVD,k,150.00,0.5213,47.36,0.992965,125.96
SVD,k,200.00,0.3910,47.64,0.993883,164.09
JPEG,quality,10.00,6.9090,14.08,0.055200,12.04
JPEG,quality,30.00,6.8031,15.76,0.077328,11.75
JPEG,quality,50.00,6.7148,18.39,0.124504,11.76
JPEG,quality,70.00,6.5931,21.56,0.207829,12.86
JPEG,quality,80.00,6.4629,24.14,0.303752,12.01
JPEG,quality,90.00,6.1488,29.52,0.558528,12.38
JPEG,quality,95.00,5.7359,35.11,0.806804,13.03
JPEG,quality,100.00,5.2415,46.39,0.990970,16.64
